exam_name,centre_name,dms_code,exam_date
SHIKHAR CTS,HYDERABAD - STH-TS-5719-NSEIT LIMITED - HYDERABAD,STH-TS-5719,12/6/2024
IBIS BCBF DRA,BHUBANESHWAR - EST-OR-1093-RADHA RAMAN ASSESSMENT SERVICES PRIVATE LIMITED,EST-OR-1093,12/7/2024
IBIS BCBF DRA,AMRITSAR - NR2-PB-4473-KHALSA COLLEGE OF ENGINEERING AND TECHNOLOGY,NR2-PB-4473,12/7/2024
IBIS BCBF DRA,BENGALURU - STH-KA-5033-ARYZE TECHNOLOGIES,STH-KA-5033,12/7/2024
IBIS BCBF DRA,BILASPUR - WST-CG-2009-PREEYEM INFOTECH - ABHIYAN ACADEMY,WST-CG-2009,12/7/2024
IBIS BCBF DRA,AHMEDABAD - WST-GJ-2040-SHREE SWAMINARAYAN INSTITUE OF TECHNOLOGY,WST-GJ-2040,12/7/2024
IBIS CA,CHANDIGARH - NR2-CH-1489-GSS INTERNATIONAL PUBLIC SCHOOL,NR2-CH-1489,12/8/2024
IBIS CA,HAMIRPUR - NR2-HP-4127-NEW GURUKUL INFOTECH,NR2-HP-4127,12/8/2024
IBIS CA,JODHPUR - NR2-RJ-4209-SHREE KIRTARAM SHIKSHAN SHANSTHAN,NR2-RJ-4209,12/8/2024
IBIS CA,SIKAR - NR2-RJ-4582-SBS SHIKSHAN PRASIKSHAN COLLEGE,NR2-RJ-4582,12/8/2024
IBIS CA,AHMEDABAD - WST-GJ-2541-KAAVYARATNA INFO SERVICES_1,WST-GJ-2541,12/8/2024
IBIS CA,AHMEDABAD - WST-GJ-2541-KAAVYARATNA INFO SERVICES-1,WST-GJ-2541,12/8/2024
IBIS CA,CHANDIGARH - NR2-CH-1489-GSS INTERNATIONAL PUBLIC SCHOOL,NR2-CH-1489,12/14/2024
IBIS CA,JAIPUR - NR2-RJ-4500-SJM COLLEGE ONLINE EXAM CENTRE_1,NR2-RJ-4500,12/14/2024
IBIS CA,JAIPUR - NR2-RJ-4500-SJM COLLEGE ONLINE EXAM CENTRE-1,NR2-RJ-4500,12/14/2024
IBIS CA,DEHRADUN - NR2-UK-4685-MINERVA ONLINE EXAMINATION CENTER INSTITUTE,NR2-UK-4685,12/14/2024
IBIS CA,CHENNAI - STH-TN-5975-DON BOSCO ARTS AND SCIENCE COLLEGE,STH-TN-5975,12/14/2024
IBIS CA,AHMEDABAD - WST-GJ-2541-KAAVYARATNA INFO SERVICES_1,WST-GJ-2541,12/14/2024
IBIS CA,AHMEDABAD - WST-GJ-2541-KAAVYARATNA INFO SERVICES-1,WST-GJ-2541,12/14/2024
IBIS CA,IMPHAL - EST-MN-1055-MAX DATA CENTER,EST-MN-1055,12/15/2024
IBIS CA,CHANDIGARH - NR2-CH-1489-GSS INTERNATIONAL PUBLIC SCHOOL,NR2-CH-1489,12/15/2024
IBIS CA,HAMIRPUR - NR2-HP-4127-NEW GURUKUL INFOTECH,NR2-HP-4127,12/15/2024
IBIS CA,JAIPUR - NR2-RJ-4500-SJM COLLEGE ONLINE EXAM CENTRE_1,NR2-RJ-4500,12/15/2024
IBIS CA,JAIPUR - NR2-RJ-4500-SJM COLLEGE ONLINE EXAM CENTRE-1,NR2-RJ-4500,12/15/2024
IBIS CA,DEHRADUN - NR2-UK-4685-MINERVA ONLINE EXAMINATION CENTER INSTITUTE,NR2-UK-4685,12/15/2024
NARMADA SWAYAM,KADAPA - STH-AP-5982-GOVT RESIDANTIAL ITI FOR GIRLS - KADAPA,STH-AP-5982,12/15/2024
MUDRA,BANGALORE - STH-KA-5034- E MERIT - RT NAGAR,STH-KA-5034,12/16/2024
SHIKHAR ATS,EST-JH-1516 - JAMSHEDPUR-NOBEL SPHERE TECHNOLOGIES,EST-JH-1516,12/18/2024
SHIKHAR ATS,EST-WB-1413 - DURGAPUR-CONFIANCE,EST-WB-1413,12/18/2024
SHIKHAR ATS,NR2-PB-4519 - PATIALA-NSEIT LIMITED - PATIALA,NR2-PB-4519,12/18/2024
MUDRA AICITSS,BHUBANESWAR - EST-OR-1093-RADHA RAMAN ASSESSMENT SERVICES PRIVATE LIMITED,EST-OR-1093,12/21/2024
MUDRA AICITSS,LUCKNOW - NR1-UP-3561-NSEIT LIMITED - LUCKNOW,NR1-UP-3561,12/21/2024
MUDRA AICITSS,BENGALURU - STH-KA-5035-E PAREEKSHA,STH-KA-5035,12/21/2024
MUDRA AICITSS,CHENNAI - STH-TN-5143-SRI SAI RAM ENGINEEIRNG COLLEGE,STH-TN-5143,12/21/2024
MUDRA AICITSS,RAIPUR - WST-CG-2024-SHREE DIGITAL,WST-CG-2024,12/21/2024
IBIS CA,LUDHIANA - NR2-PB-4608-ALPINE INTERNATIONAL SR SEC SCHOOL,NR2-PB-4608,12/22/2024
IBIS CA,CHENNAI - STH-TN-5702-MBC ONLINE CENTER,STH-TN-5702,12/22/2024
IBIS CA,CHENNAI - STH-TN-5975-DON BOSCO ARTS AND SCIENCE COLLEGE,STH-TN-5975,12/22/2024
KAZIRANGA,DIBRUGARH - EST-AS-1009-LAHOWAL COLLEGE,EST-AS-1009,12/27/2024
KAZIRANGA,JORHAT - EST-AS-1018-ZENITH INSTITUTE OF TECHNOLOGY,EST-AS-1018,12/27/2024
KAZIRANGA,SILCHAR - EST-AS-1172-GOVERNMENT INDUSTRIAL TRAINING INSTITUTE - SRIKONA,EST-AS-1172,12/27/2024
KAZIRANGA,DIBRUGARH - EST-AS-1485-BRAHMAPUTRA INDUSTRIAL TRAINING INSTITUTE - TENGAKHAT -PRIVATE,EST-AS-1485,12/27/2024
KAZIRANGA,DIBRUGARH - EST-AS-1486-GOVERNMENT INDUSTRIAL TRAINING INSTITUTE - DIBRUGARH,EST-AS-1486,12/27/2024
IBIS BCBF DRA,GUWAHATI - EST-AS-1005-FUTURE TECH EDUCATION,EST-AS-1005,1/4/2025
IBIS BCBF DRA,VIJAYAWADA - STH-AP-5023-SHREE VIJAYA DURGA IT INFO SOLUTIONS,STH-AP-5023,1/4/2025
IBIS BCBF DRA,CHENNAI - STH-TN-5702-MBC ONLINE CENTER,STH-TN-5702,1/4/2025
IBIS BCBF DRA,SURAT - WST-GJ-2564-DECIPHER TECHNOLOGIES,WST-GJ-2564,1/4/2025
IBIS BCBF DRA,AURANGABAD - WST-MH-2199-BYTEZS INFOTECH,WST-MH-2199,1/4/2025
MUDRA,KOLKATA - EST-WB-1445-NSEIT LIMITED - KOLKATA,EST-WB-1445,1/4/2025
MUDRA,NOIDA - NR2-UP-3613-NSEIT LIMITED - NOIDA,NR2-UP-3613,1/4/2025
MUDRA,CHENNAI - STH-TN-5856-NSEIT LIMITED - CHENNAI,STH-TN-5856,1/4/2025
MUDRA,THANE - WST-MH-2660-K.C. COLLEGE OF ENGINEERING AND MANAGEMENT STUDIES AND RESEARCH,WST-MH-2660,1/4/2025
MUDRA,MUMBAI - WST-MH-2684-NSEIT LIMITED - MUMBAI,WST-MH-2684,1/4/2025
MUDRA,KOLKATA - EST-WB-1445-NSEIT LIMITED - KOLKATA,EST-WB-1445,1/6/2025
MUDRA,DELHI NEW DELHI - NR2-DL-4526-NSEIT LIMITED - NEW DELHI,NR2-DL-4526,1/6/2025
MUDRA,HYDERABAD - STH-TS-5719-NSEIT LIMITED - HYDERABAD - 1,STH-TS-5719,1/6/2025
MUDRA,MUMBAI - WST-MH-2684-NSEIT LIMITED - MUMBAI,WST-MH-2684,1/6/2025
MUDRA,THANE - WST-MH-2745-MBC-THANE,WST-MH-2745,1/6/2025
IBIS DIP,CHENNAI - STH-TN-5856-NSEIT LIMITED - CHENNAI,STH-TN-5856,1/12/2025
IBIS DIP,COIMBATORE - STH-TN-5861-NSEIT LIMITED - COIMBATORE,STH-TN-5861,1/12/2025
MUDRA AICITSS,GURGAON - NR2-HR-4098-DPG DEGREE COLLEGE-BLOCK-D,NR2-HR-4098,1/18/2025
MUDRA AICITSS,ERNAKULAM - STH-KL-5066-SWEAR ONLINE ASSESSMENT CENTRE,STH-KL-5066,1/18/2025
MUDRA AICITSS,HYDERABAD - STH-TS-5727-THE INSTITUTE OF ELECTRONICS AND TELECOMMUNICATION ENGINEERS - IETE,STH-TS-5727,1/18/2025
MUDRA AICITSS,GANDHINAGAR - WST-GJ-2040-SHREE SWAMINARAYAN INSTITUE OF TECHNOLOGY,WST-GJ-2040,1/18/2025
MUDRA AICITSS,MUMBAI - WST-MH-2452-THAKUR POLYTECHNIC_1,WST-MH-2452,1/18/2025
MUDRA AICITSS,MUMBAI - WST-MH-2452-THAKUR POLYTECHNIC - 1,WST-MH-2452,1/18/2025
NIA,DELHI - NR2-DL-4526-NSEIT LIMITED - DELHI,NR2-DL-4526,1/18/2025
NIA,JAIPUR - NR2-RJ-4561-NSEIT LIMITED - JAIPUR,NR2-RJ-4561,1/18/2025
NIA,PANJIM - WST-GA-2348-NSEIT LIMITED - PANJIM,WST-GA-2348,1/18/2025
NIA,MUMBAI - WST-MH-2684-NSEIT LIMITED - MUMBAI,WST-MH-2684,1/18/2025
IBIS DIP,NEW DELHI - NR2-DL-4526-NSEIT LIMITED - NEW DELHI,NR2-DL-4526,1/19/2025
IBIS DIP,GURUGRAM - NR2-HR-4098-NSEIT LIMITED - GURUGRAM,NR2-HR-4098,1/19/2025
