sr,exam_date,exam_name,dms_code,updated_venue_name
148,9/28/2024,MUDRA AICITSS,WST-MH-2199,AURANGABAD - WST-MH-2199-BYTEZS INFOTECH
149,9/28/2024,MUDRA AICITSS,WST-MH-2452,MUMBAI - WST-MH-2452-THAKUR POLYTECHNIC
150,9/29/2024,SHIKHAR CITS RPL,NR2-PB-4523,BATHINDA - NR2-PB-4523-SSD GIRLS COLLEGE
151,9/29/2024,SHIKHAR CITS RPL,STH-KA-5508,CHIKKAMAGALURU - STH-KA-5508-GOVT ITI CHIKKAMAGALURU
152,9/29/2024,SHIKHAR CITS RPL,WST-GJ-2040,AHMEDABAD - WST-GJ-2040-SHREE SWAMINARAYAN INSTITUE OF TECHNOLOGY
153,9/30/2024,MUDRA,NR2-DL-4018,DELHI NEW DELHI - NR2-DL-4018-ALL INDIA INSTITUTE OF LOCAL SELF GOVERNMENT
154,9/30/2024,MUDRA,NR2-HR-4098,GURUGRAM - NR2-HR-4098-DPG DEGREE COLLEGE - BLOCK-D
155,9/30/2024,MUDRA,WST-CG-2010,DURG BHILAI - WST-CG-2010-BHARTI COLLEGE OF ENGINEERING AND TECHNOLOGY
156,9/30/2024,MUDRA,WST-GJ-2030,AHMEDABAD - WST-GJ-2030-ALL INDIA INSTITUTE OF LOCAL SELF GOVERNMENT-AHMEDABAD
157,9/30/2024,MUDRA,WST-MH-2243,THANE - WST-MH-2243-MBC-THANE
158,10/5/2024,IBIS BCBF DRA,NR1-UP-3139,KANPUR - NR1-UP-3139-THE LEARNING SPACE
159,10/5/2024,IBIS BCBF DRA,NR2-DL-4484,NEW DELHI - NR2-DL-4484-SANGWAN ACADEMY
160,10/5/2024,IBIS BCBF DRA,WST-GJ-2538,RAJKOT - WST-GJ-2538-GEETANJALI COLLEGE
161,10/5/2024,IBIS BCBF DRA,WST-MH-2199,AURANGABAD - WST-MH-2199-BYTEZS INFOTECH
162,10/5/2024,IBIS BCBF DRA,WST-MH-2234,PUNE - WST-MH-2234-PRIYADARSHANI SIKHSHAN SANSTHAS MARATHI SECONDARY SCHOOL
163,10/6/2024,TANGO,STH-TN-5154,COIMBATORE - STH-TN-5154-KARUNYA INSITUTE OF TECHNOLOGY AND SCIENCE COLLEGE - 1
164,10/6/2024,TANGO,STH-TN-5279,THIRUNELVELI - STH-TN-5279-PSN ENGINEERING COLLEGE
165,10/6/2024,TANGO,STH-TN-5717,SALEM - STH-TN-5717-VSA GROUP OF INSTITUTIONS
166,10/6/2024,TANGO,STH-TN-5736,MADURAI - STH-TN-5736-NAGARATHINAM ANGALAMMAL ARTS AND SCIENCE COLLEGE
167,10/6/2024,TANGO,STH-TN-5878,TIRUCHIRAPALLI - STH-TN-5878-AGN INFOSYSTEM
168,10/6/2024,TANGO HEAL,STH-TN-5154,COIMBATORE - STH-TN-5154-KARUNYA INSITUTE OF TECHNOLOGY AND SCIENCE COLLEGE_1
169,10/6/2024,TANGO HEAL,STH-TN-5279,THIRUNELVELI - STH-TN-5279-PSN ENGINEERING COLLEGE
170,10/6/2024,TANGO HEAL,STH-TN-5717,SALEM - STH-TN-5717-VSA GROUP OF INSTITUTIONS
171,10/6/2024,TANGO HEAL,STH-TN-5736,MADURAI - STH-TN-5736-NAGARATHINAM ANGALAMMAL ARTS AND SCIENCE COLLEGE
172,10/6/2024,TANGO HEAL,STH-TN-5878,TIRUCHIRAPALLI - STH-TN-5878-AGN INFOSYSTEM
173,10/17/2024,SHIKHAR CITS RPL,NR2-HR-4098,GURUGRAM - NR2-HR-4098-DPG DEGREE COLLEGE-BLOCK-D
174,10/17/2024,SHIKHAR CITS RPL,NR2-HR-4107,HISAR - NR2-HR-4107-VARTMAAN ONLINE SERVICES
175,10/17/2024,SHIKHAR CITS RPL,NR2-HR-4620,AMBALA - NR2-HR-4620-LORD KRISHNA COLLEGE OF EDUCATION COMPUTER TEST EXAM CENTRE
176,10/20/2024,IBIS JA,NR2-HR-4495,AMBALA CANTT - NR2-HR-4495-A-ONE ONLINE EXAM SOLUTIONS
177,10/20/2024,IBIS JA,NR2-HR-4684,GURUGRAM - NR2-HR-4684-M M PUBLIC SCHOOL
178,10/20/2024,IBIS JA,NR2-RJ-4500,JAIPUR - NR2-RJ-4500-SJM COLLEGE ONLINE EXAM CENTRE_2
179,10/20/2024,IBIS JA,NR2-RJ-4500,JAIPUR - NR2-RJ-4500-SJM COLLEGE ONLINE EXAM CENTRE-2
180,10/20/2024,IBIS JA,NR2-UK-4655,DEHRADUN - NR2-UK-4655-BRAIN DISCOVERY GLOBAL SCHOOL
181,10/20/2024,IBIS JA,WST-GJ-2541,AHMEDABAD - WST-GJ-2541-KAAVYARATNA INFO SERVICES_1
182,10/20/2024,IBIS JA,WST-GJ-2541,AHMEDABAD - WST-GJ-2541-KAAVYARATNA INFO SERVICES-1
183,10/26/2024,IBIS JA,NR2-CH-1489,CHANDIGARH - NR2-CH-1489-GSS INTERNATIONAL PUBLIC SCHOOL
184,10/26/2024,IBIS JA,NR2-RJ-4209,JODHPUR - NR2-RJ-4209-SHREE KIRTARAM SHIKSHAN SHANSTHAN
185,10/26/2024,IBIS JA,NR2-RJ-4576,SIKAR - NR2-RJ-4576-VIDHYA BHARTI SANSTHAN
186,10/26/2024,IBIS JA,STH-TN-5702,CHENNAI - STH-TN-5702-MBC ONLINE CENTER
187,10/26/2024,IBIS JA,WST-GJ-2541,AHMEDABAD - WST-GJ-2541-KAAVYARATNA INFO SERVICES_1
188,10/26/2024,IBIS JA,WST-GJ-2541,AHMEDABAD - WST-GJ-2541-KAAVYARATNA INFO SERVICES-1
189,10/27/2024,BLACK GOLD,EST-OR-1199,BHUBANESHWAR - EST-OR-1199-MAA ASSESSMENT CENTER
190,10/27/2024,BLACK GOLD,NR1-UP-3383,LUCKNOW - NR1-UP-3383-SULTAN FOUNDATION LUCKNOW
191,10/27/2024,BLACK GOLD,STH-KA-5948,BANGALORE - STH-KA-5948-E TALENT - PEENYA
